# Matter power spectrum P(k) at redshift z=0
# for k=1.04978e-05 to 67.0701 h/Mpc,
# number of wavenumbers equal to 621
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.157663266153e-02       1.443566835635e+04 
       4.179114893826e-02       1.436306095272e+04 
       4.200846822564e-02       1.429052821765e+04 
       4.222871806581e-02       1.421798328721e+04 
       4.245203415786e-02       1.414529113570e+04 
       4.267856105273e-02       1.407255760428e+04 
       4.290845292254e-02       1.399972025492e+04 
       4.314187441409e-02       1.392680697473e+04 
       4.337900159742e-02       1.385376602187e+04 
       4.362002302260e-02       1.378063397169e+04 
       4.386514089923e-02       1.370732911880e+04 
       4.411457241618e-02       1.363384954230e+04 
       4.436855122156e-02       1.356026401722e+04 
       4.462732908644e-02       1.348644858888e+04 
       4.489117777982e-02       1.341244732618e+04 
       4.516039118726e-02       1.333820101132e+04 
       4.543528771129e-02       1.326370521846e+04 
       4.571621299892e-02       1.318898148260e+04 
       4.600354304983e-02       1.311392297283e+04 
       4.629768776928e-02       1.303853200025e+04 
       4.659909504248e-02       1.296282562773e+04 
       4.690825542219e-02       1.288673367488e+04 
       4.722570754098e-02       1.281020857245e+04 
       4.755204438216e-02       1.273321045961e+04 
       4.788792057329e-02       1.265578651959e+04 
       4.823406090177e-02       1.257778311373e+04 
       4.859127029761e-02       1.249911826978e+04 
       4.896044558520e-02       1.241986651887e+04 
       4.934258937759e-02       1.233990659974e+04 
       4.973882657740e-02       1.225912874662e+04 
       5.015042406355e-02       1.217749640610e+04 
       5.057881428932e-02       1.209489918786e+04 
       5.102562370382e-02       1.201125019411e+04 
       5.149270714670e-02       1.192642442895e+04 
       5.198218966843e-02       1.184027393711e+04 
       5.249651761179e-02       1.175264868457e+04 
       5.303852127043e-02       1.166333052335e+04 
       5.361149203291e-02       1.157217489931e+04 
       5.421927762771e-02       1.147870804116e+04 
       5.486639988301e-02       1.138280751088e+04 
       5.555820021383e-02       1.128397273979e+04 
       5.630101862016e-02       1.118164948993e+04 
       5.710241181770e-02       1.107522927896e+04 
       5.797141417444e-02       1.096377847370e+04 
       5.891883933241e-02       1.084624583815e+04 
       5.995760691903e-02       1.072113735748e+04 
       6.110305098822e-02       1.058644991470e+04 
       6.237311474427e-02       1.043960303980e+04 
       6.378824836837e-02       1.027700870161e+04 
       6.537070216991e-02       1.009412010225e+04 
       6.714278728740e-02       9.885106535826e+03 
       6.912370403835e-02       9.643201270727e+03 
       7.132498882937e-02       9.361475666991e+03 
       7.374571205534e-02       9.034537871085e+03 
       7.636980659706e-02       8.660886875920e+03 
       7.916783370948e-02       8.244954768033e+03 
       8.210309023128e-02       7.797691237833e+03 
       8.513903103156e-02       7.335094469459e+03 
       8.824459827927e-02       6.875330305809e+03 
       9.139623096513e-02       6.435757307824e+03 
       9.457741388334e-02       6.030608595557e+03 
       9.777716828317e-02       5.669721449704e+03 
       1.009884427428e-01       5.358132427021e+03 
       1.042068059503e-01       5.096436096071e+03 
       1.074295106695e-01       4.881426144937e+03 
       1.106548678347e-01       4.707015416386e+03 
       1.138818441663e-01       4.565072344907e+03 
       1.171098094132e-01       4.446352005662e+03 
       1.203383797666e-01       4.341372179901e+03 
       1.235673216568e-01       4.241207060711e+03 
       1.267964929420e-01       4.138270189113e+03 
       1.300258070650e-01       4.026927698513e+03 
       1.332552112462e-01       3.903891834742e+03 
       1.364846732306e-01       3.768323306718e+03 
       1.397141732385e-01       3.621629142592e+03 
       1.429436990774e-01       3.466991694208e+03 
       1.461732431740e-01       3.308766725435e+03 
       1.494028007719e-01       3.151773395103e+03 
       1.526323688365e-01       3.000697820535e+03 
       1.558619453899e-01       2.859560067189e+03 
       1.590915291058e-01       2.731375574692e+03 
       1.623211190630e-01       2.617970910184e+03 
       1.655507145945e-01       2.519945571190e+03 
       1.687803151960e-01       2.436766736985e+03 
       1.720099204690e-01       2.366930985029e+03 
       1.752395300855e-01       2.308214538160e+03 
       1.784691437669e-01       2.257913806666e+03 
       1.816987612695e-01       2.213122746625e+03 
       1.849283823765e-01       2.171335913834e+03 
       1.881580068914e-01       2.129923289105e+03 
       1.913876346346e-01       2.086448551769e+03 
       1.946172654408e-01       2.039442063543e+03 
       1.978468991566e-01       1.988190799674e+03 
       2.010765356394e-01       1.932746019937e+03 
       2.043061747563e-01       1.873834656945e+03 
       2.075358163829e-01       1.812671038381e+03 
       2.107654604026e-01       1.750737071684e+03 
       2.139951067061e-01       1.689566968923e+03 
       2.172247551907e-01       1.630577767803e+03 
