# Matter power spectrum P(k) at redshift z=0
# for k=1.04829e-05 to 66.9325 h/Mpc,
# number of wavenumbers equal to 621
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.221541508661e-02       1.841603260026e+04 
       3.236488402637e-02       1.834249173265e+04 
       3.251483364174e-02       1.826880839694e+04 
       3.266527660501e-02       1.819513860195e+04 
       3.281622599552e-02       1.812150176443e+04 
       3.296769531605e-02       1.804780857174e+04 
       3.311969851014e-02       1.797404320127e+04 
       3.327224998026e-02       1.790030840866e+04 
       3.342536460691e-02       1.782664133265e+04 
       3.357905776873e-02       1.775292515771e+04 
       3.373334536373e-02       1.767921724072e+04 
       3.388824383149e-02       1.760552738154e+04 
       3.404377017677e-02       1.753181403400e+04 
       3.419994199423e-02       1.745812232897e+04 
       3.435677749463e-02       1.738446359914e+04 
       3.451429553238e-02       1.731077431458e+04 
       3.467251563477e-02       1.723720305169e+04 
       3.483145803276e-02       1.716356588906e+04 
       3.499114369358e-02       1.709004490899e+04 
       3.515159435524e-02       1.701647836232e+04 
       3.531283256306e-02       1.694302237918e+04 
       3.547488170837e-02       1.686951408367e+04 
       3.563776606956e-02       1.679610276992e+04 
       3.580151085566e-02       1.672271653123e+04 
       3.596614225250e-02       1.664935765556e+04 
       3.613168747190e-02       1.657602292053e+04 
       3.629817480392e-02       1.650274816277e+04 
       3.646563367236e-02       1.642949360296e+04 
       3.663409469404e-02       1.635631168122e+04 
       3.680358974183e-02       1.628318463358e+04 
       3.697415201192e-02       1.621004037777e+04 
       3.714581609564e-02       1.613698946066e+04 
       3.731861805618e-02       1.606394658058e+04 
       3.749259551060e-02       1.599095925000e+04 
       3.766778771761e-02       1.591801331066e+04 
       3.784423567158e-02       1.584506881766e+04 
       3.802198220334e-02       1.577222413870e+04 
       3.820107208836e-02       1.569938210107e+04 
       3.838155216287e-02       1.562659187108e+04 
       3.856347144885e-02       1.555380414701e+04 
       3.874688128844e-02       1.548104207922e+04 
       3.893183548882e-02       1.540834925011e+04 
       3.911839047843e-02       1.533570759145e+04 
       3.930660547571e-02       1.526303898988e+04 
       3.949654267145e-02       1.519040648710e+04 
       3.968826742622e-02       1.511777981100e+04 
       3.988184848421e-02       1.504519755519e+04 
       4.007735820531e-02       1.497265261060e+04 
       4.027487281720e-02       1.489997532000e+04 
       4.047447268952e-02       1.482745567282e+04 
       4.067624263258e-02       1.475481876770e+04 
       4.088027222309e-02       1.468221050777e+04 
       4.108665616006e-02       1.460954008744e+04 
       4.129549465402e-02       1.453690783371e+04 
       4.150689385358e-02       1.446421069044e+04 
       4.172096631344e-02       1.439146812705e+04 
       4.193783150887e-02       1.431871618266e+04 
       4.215761640212e-02       1.424585879661e+04 
       4.238045606717e-02       1.417294905361e+04 
       4.260649438011e-02       1.409997772263e+04 
       4.283588478332e-02       1.402693282008e+04 
       4.306879113322e-02       1.395375666658e+04 
       4.330538864235e-02       1.388048925334e+04 
       4.354586492877e-02       1.380711606382e+04 
       4.379042118724e-02       1.373359495039e+04 
       4.403927349945e-02       1.365991511224e+04 
       4.429265430321e-02       1.358605966355e+04 
       4.455081404374e-02       1.351204541875e+04 
       4.481402303450e-02       1.343779510255e+04 
       4.508257355947e-02       1.336333170824e+04 
       4.535678225476e-02       1.328863966173e+04 
       4.563699281433e-02       1.321366920290e+04 
       4.592357907284e-02       1.313840075942e+04 
       4.621694852910e-02       1.306284045143e+04 
       4.651754638592e-02       1.298691602026e+04 
       4.682586019731e-02       1.291062687030e+04 
       4.714242523289e-02       1.283390959345e+04 
       4.746783069248e-02       1.275674547797e+04 
       4.780272693253e-02       1.267908652149e+04 
       4.814783390169e-02       1.260087750421e+04 
       4.850395102770e-02       1.252207692622e+04 
       4.887196885382e-02       1.244264446278e+04 
       4.925288279357e-02       1.236250317434e+04 
       4.964780946217e-02       1.228157730859e+04 
       5.005800615642e-02       1.219977967019e+04 
       5.048489419927e-02       1.211706163805e+04 
       5.093008704895e-02       1.203328447021e+04 
       5.139542430755e-02       1.194828698416e+04 
       5.188301306184e-02       1.186203214037e+04 
       5.239527836771e-02       1.177428639187e+04 
       5.293502516359e-02       1.168490143396e+04 
       5.350551448402e-02       1.159356127383e+04 
       5.411055754513e-02       1.150014089814e+04 
       5.475463206747e-02       1.140418805851e+04 
       5.544302600334e-02       1.130533087214e+04 
       5.618201442687e-02       1.120304217475e+04 
       5.697907523965e-02       1.109668424575e+04 
       5.784314752963e-02       1.098536417386e+04 
       5.878493090535e-02       1.086803504322e+04 
       5.981721119659e-02       1.074319310126e+04 
       6.095517113237e-02       1.060890261003e+04 
       6.221659412292e-02       1.046257343825e+04 
       6.362178368745e-02       1.030071240667e+04 
       6.519289809654e-02       1.011872980957e+04 
       6.695227740557e-02       9.910950426023e+03 
       6.891935459870e-02       9.670545768709e+03 
       7.110616366798e-02       9.390545766935e+03 
       7.351250762776e-02       9.065391047394e+03 
       7.612311571355e-02       8.693306039008e+03 
       7.890915404720e-02       8.278392350494e+03 
       8.183415749316e-02       7.831316914375e+03 
       8.486146799668e-02       7.367921983525e+03 
       8.795971577085e-02       6.906417983110e+03 
       9.110498633195e-02       6.464324745366e+03 
       9.428046055385e-02       6.056151749429e+03 
       9.747493299076e-02       5.691985107829e+03 
       1.006811964579e-01       5.377157418990e+03 
       1.038947177466e-01       5.112458828263e+03 
       1.071126849105e-01       4.894852127889e+03 
       1.103333685224e-01       4.718350779143e+03 
       1.135557104000e-01       4.574881657343e+03 
       1.167790650288e-01       4.455217172966e+03 
       1.200030392813e-01       4.349812596241e+03 
       1.232273939115e-01       4.249683909529e+03 
       1.264519833249e-01       4.147077591988e+03 
       1.296767188650e-01       4.036263732706e+03 
       1.329015464760e-01       3.913825444311e+03 
       1.361264331275e-01       3.778762817815e+03 
       1.393513585677e-01       3.632387385782e+03 
       1.425763103163e-01       3.477822865891e+03 
       1.458012806247e-01       3.319390092712e+03 
       1.490262646290e-01       3.161927877420e+03 
       1.522512592287e-01       3.010150838378e+03 
       1.554762624050e-01       2.868150983397e+03 
       1.587012728063e-01       2.739007798650e+03 
       1.619262894950e-01       2.624623297042e+03 
       1.651513117941e-01       2.525663034690e+03 
       1.683763391923e-01       2.441648172383e+03 
       1.716013712864e-01       2.371118040916e+03 
       1.748264077453e-01       2.311874157471e+03 
       1.780514482880e-01       2.261218984069e+03 
       1.812764926691e-01       2.216247936425e+03 
       1.845015406701e-01       2.174401204153e+03 
       1.877265920934e-01       2.133079907599e+03 
       1.909516467584e-01       2.089785380920e+03 
       1.941767044988e-01       2.042996457290e+03 
       1.974017651606e-01       1.991960185827e+03 
       2.006268286004e-01       1.936687971962e+03 
       2.038518946846e-01       1.877878093146e+03 
       2.070769632882e-01       1.816725079292e+03 
       2.103020342941e-01       1.754713437614e+03 
       2.135271075925e-01       1.693383026338e+03 
       2.167521830802e-01       1.634159723856e+03 
       2.199772606601e-01       1.578226484205e+03 
       2.232023402409e-01       1.526459788122e+03 
       2.264274217364e-01       1.479407900992e+03 
       2.296525050654e-01       1.437287723953e+03 
       2.328775901511e-01       1.399989698718e+03 
       2.361026769212e-01       1.367113105509e+03 
       2.393277653070e-01       1.338016253758e+03 
       2.425528552437e-01       1.311873335523e+03 
       2.457779466698e-01       1.287764923890e+03 
       2.490030395271e-01       1.264779982828e+03 
       2.522281337603e-01       1.242094303094e+03 
